category,brand,model,weight_kg,reference_price,currency,product_url,official_source
sleeping-bag,Aegismax,AEGISMAX AEGIS-A Mummy Style Down Sleeping Bag Winter,0.8,363.0,USD,https://www.campgearcompare.com/products/aegismax-aegismax-aegis-a-mummy-style-down-sleeping-bag-winter.html,https://aegismaxstore.com/product/aegismax-aegis-a-mummy-style-down-sleeping-bag-winter/
sleeping-bag,Aegismax,AEGISMAX D Duck Down Sleeping Bag 20D Nylon FP650+,0.38,156.1,USD,https://www.campgearcompare.com/products/aegismax-aegismax-d-duck-down-sleeping-bag-20d-nylon-fp650.html,https://aegismaxstore.com/product/aegismax-d-duck-down-sleeping-bag-20d-nylon-fp650/
sleeping-bag,Aegismax,AEGISMAX E Envelope Sleeping Bag Ultralight 800FP White Goose Down,0.28,94.38,USD,https://www.campgearcompare.com/products/aegismax-aegismax-e-envelope-sleeping-bag-ultralight-800fp-white-goose-down.html,https://aegismaxstore.com/product/aegismax-e-envelope-sleeping-bag-ultralight-800fp-white-goose-down/
sleeping-bag,Aegismax,AEGISMAX Envelope 95% White Goose Down Sleeping Bag FP800 M L,0.4,133.0,USD,https://www.campgearcompare.com/products/aegismax-aegismax-envelope-95-white-goose-down-sleeping-bag-fp800-m-l.html,https://aegismaxstore.com/product/aegismax-envelope-95-white-goose-down-sleeping-bag-fp800-m-l/
sleeping-bag,Aegismax,AEGISMAX G 95% Goose Down Sleeping Bag 15D FP800,0.722,345.84,USD,https://www.campgearcompare.com/products/aegismax-aegismax-g-95-goose-down-sleeping-bag-15d-fp800.html,https://aegismaxstore.com/product/aegismax-g-95-goose-down-sleeping-bag-15d-fp800/
sleeping-bag,Aegismax,AEGISMAX LETO Sleeping Bag Ultralight Mummy 700FP Goose Down,0.35,105.6,USD,https://www.campgearcompare.com/products/aegismax-aegismax-leto-sleeping-bag-ultralight-mummy-700fp-goose-down.html,https://aegismaxstore.com/product/aegismax-leto-sleeping-bag-ultralight-mummy-700fp-goose-down/
sleeping-bag,Aegismax,AEGISMAX M3 White Goose Down winter Mummy Sleeping Bag,0.5,164.34,USD,https://www.campgearcompare.com/products/aegismax-aegismax-m3-white-goose-down-winter-mummy-sleeping-bag.html,https://aegismaxstore.com/product/aegismax-m3-white-goose-down-winter-mummy-sleeping-bag/
sleeping-bag,Aegismax,AEGISMAX MINI Sleeping bag 800FP Goose Down Ultralight,0.408,85.14,USD,https://www.campgearcompare.com/products/aegismax-aegismax-mini-sleeping-bag-800fp-goose-down-ultralight.html,https://aegismaxstore.com/product/aegismax-mini-sleeping-bag-800fp-goose-down-ultralight/
sleeping-bag,Aegismax,AEGISMAX NANO2 Mummy White Goose Down Sleeping Bag,0.35,127.38,USD,https://www.campgearcompare.com/products/aegismax-aegismax-nano2-mummy-white-goose-down-sleeping-bag.html,https://aegismaxstore.com/product/aegismax-nano2-mummy-white-goose-down-sleeping-bag/
sleeping-bag,Aegismax,AEGISMAX QUILT WIND HARD TINY Ultralight 850FP Gray Goose Down,0.29,118.8,USD,https://www.campgearcompare.com/products/aegismax-aegismax-quilt-wind-hard-tiny-ultralight-850fp-gray-goose-down.html,https://aegismaxstore.com/product/aegismax-quilt-wind-hard-tiny-ultralight-850fp-gray-goose-down/
sleeping-bag,Aegismax,AEGISMAX ULTRA Winter 95% Goose Down Sleeping Bag FP850 -22℉~-36℉,1.47,679.0,USD,https://www.campgearcompare.com/products/aegismax-aegismax-ultra-winter-95-goose-down-sleeping-bag-fp850-22-e2-84-89-36-e2-84-89.html,https://aegismaxstore.com/product/aegismax-ultra-winter-95-goose-down-sleeping-bag-fp850-22%e2%84%89-36%e2%84%89/
sleeping-bag,Aegismax,AEGISMAX Ultra Light 90% White Duck down sleeping bag Open square,0.208,79.8,USD,https://www.campgearcompare.com/products/aegismax-aegismax-ultra-light-90-white-duck-down-sleeping-bag-open-square.html,https://aegismaxstore.com/product/aegismax-ultra-light-90-white-duck-down-sleeping-bag-open-square/
sleeping-bag,Aegismax,AEGISMAX Wind Hard Tiny Pro 10D 800FP Down Sleeping Bag Quilt,0.55,164.14,USD,https://www.campgearcompare.com/products/aegismax-aegismax-wind-hard-tiny-pro-10d-800fp-down-sleeping-bag-quilt.html,https://aegismaxstore.com/product/aegismax-wind-hard-tiny-pro-10d-800fp-down-sleeping-bag-quilt/
sleeping-bag,Aegismax,AEGISMAX Wind Hard Twilight 10D -5 Degree 800FP Down Sleeping Bag Ultralight,0.35,166.99,USD,https://www.campgearcompare.com/products/aegismax-aegismax-wind-hard-twilight-10d-5-degree-800fp-down-sleeping-bag-ultralight.html,https://aegismaxstore.com/product/aegismax-wind-hard-twilight-10d-5-degree-800fp-down-sleeping-bag-ultralight/
sleeping-bag,Asta Gear,ASTAGEAR Big Red Insect Outdoor Camping and Hiking White Duck Down Down Sleeping Bag,0.9,109.0,USD,https://www.campgearcompare.com/products/asta-gear-astagear-big-red-insect-outdoor-camping-and-hiking-white-duck-down-down-sleeping-bag.html,https://astagear.com/products/astagear-big-red-insect-outdoor-camping-and-hiking-white-duck-down-down-sleeping-bag
sleeping-bag,Asta Gear,"Astagear Summer Sleeping Bag with Outdoor Polartec Fleece, suitable for Lunch Breaks, Camping, Hiking and Travel, Double - Perso",1.2,70.0,USD,https://www.campgearcompare.com/products/asta-gear-astagear-summer-sleeping-bag-with-outdoor-polartec-fleece-suitable-for-lunch-breaks-camping-hiking-and-travel-double-perso.html,https://astagear.com/products/astagear-summer-sleeping-bag-with-outdoor-polartec-fleece-suitable-for-lunch-breaks-camping-hiking-and-travel-double-perso
sleeping-bag,Big Agnes,Anthracite 20°,1.27,159.95,USD,https://www.campgearcompare.com/products/big-agnes-anthracite-twenty.html,https://www.bigagnes.com/products/anthracite-twenty
sleeping-bag,Big Agnes,Anthracite 20° - Alpenglow,1.27,159.95,USD,https://www.campgearcompare.com/products/big-agnes-anthracite-20-alpenglow.html,https://www.bigagnes.com/products/anthracite-20-alpenglow
sleeping-bag,Big Agnes,Anthracite 30°,0.95,149.95,USD,https://www.campgearcompare.com/products/big-agnes-anthracite-thirty.html,https://www.bigagnes.com/products/anthracite-thirty
sleeping-bag,Big Agnes,Bedrock -20˚ Long,2.31,599.95,USD,https://www.campgearcompare.com/products/big-agnes-bedrock-negative-20-long.html,https://www.bigagnes.com/products/bedrock-negative-20-long
sleeping-bag,Big Agnes,Benchmark 0°,1.81,169.95,USD,https://www.campgearcompare.com/products/big-agnes-benchmark-0.html,https://www.bigagnes.com/products/benchmark-0
sleeping-bag,Big Agnes,Benchmark 20°,1.31,129.95,USD,https://www.campgearcompare.com/products/big-agnes-benchmark-20.html,https://www.bigagnes.com/products/benchmark-20
sleeping-bag,Big Agnes,Benchmark 35°,1.13,109.95,USD,https://www.campgearcompare.com/products/big-agnes-benchmark-35.html,https://www.bigagnes.com/products/benchmark-35
sleeping-bag,Big Agnes,Camp Quillow,0.92,249.95,USD,https://www.campgearcompare.com/products/big-agnes-camp-quillow.html,https://www.bigagnes.com/products/camp-quillow
sleeping-bag,Big Agnes,Dream Island 20° Doublewide,3.09,299.95,USD,https://www.campgearcompare.com/products/big-agnes-dream-island-doublewide-20.html,https://www.bigagnes.com/products/dream-island-doublewide-20
sleeping-bag,Big Agnes,Echo Park 0°,2.71,249.95,USD,https://www.campgearcompare.com/products/big-agnes-echo-park-zero.html,https://www.bigagnes.com/products/echo-park-zero
sleeping-bag,Big Agnes,Echo Park 20°,2.25,219.95,USD,https://www.campgearcompare.com/products/big-agnes-echo-park-twenty.html,https://www.bigagnes.com/products/echo-park-twenty
sleeping-bag,Big Agnes,Echo Park 35°,1.62,199.95,USD,https://www.campgearcompare.com/products/big-agnes-echo-park-35.html,https://www.bigagnes.com/products/echo-park-35
sleeping-bag,Big Agnes,Fly Creek UL 25°,0.72,499.95,USD,https://www.campgearcompare.com/products/big-agnes-fly-creek-ul-25.html,https://www.bigagnes.com/products/fly-creek-ul-25
sleeping-bag,Big Agnes,Fly Creek UL Quilt,0.43,349.95,USD,https://www.campgearcompare.com/products/big-agnes-fly-creek-ul-quilt.html,https://www.bigagnes.com/products/fly-creek-ul-quilt
sleeping-bag,Big Agnes,Greystone 0°,1.5,399.95,USD,https://www.campgearcompare.com/products/big-agnes-greystone-zero.html,https://www.bigagnes.com/products/greystone-zero
sleeping-bag,Big Agnes,Greystone 20°,1.09,299.95,USD,https://www.campgearcompare.com/products/big-agnes-greystone-twenty.html,https://www.bigagnes.com/products/greystone-twenty
sleeping-bag,Big Agnes,Greystone 30°,0.82,269.95,USD,https://www.campgearcompare.com/products/big-agnes-greystone-thirty.html,https://www.bigagnes.com/products/greystone-thirty
sleeping-bag,Big Agnes,King Solomon 20° Doublewide,1.79,499.95,USD,https://www.campgearcompare.com/products/big-agnes-king-solomon-doublewide-20.html,https://www.bigagnes.com/products/king-solomon-doublewide-20
sleeping-bag,Big Agnes,Little Red 20°,0.79,99.95,USD,https://www.campgearcompare.com/products/big-agnes-little-red-020.html,https://www.bigagnes.com/products/little-red-020
sleeping-bag,Big Agnes,Lost Ranger 3N1 15°,1.12,399.95,USD,https://www.campgearcompare.com/products/big-agnes-lost-ranger-3n1-015.html,https://www.bigagnes.com/products/lost-ranger-3n1-015
sleeping-bag,Big Agnes,Lost Ranger 3N1 0°,1.51,469.95,USD,https://www.campgearcompare.com/products/big-agnes-lost-ranger-3n1-00.html,https://www.bigagnes.com/products/lost-ranger-3n1-00
sleeping-bag,Big Agnes,Sidewinder 0˚,1.5,429.95,USD,https://www.campgearcompare.com/products/big-agnes-sidewinder-0.html,https://www.bigagnes.com/products/sidewinder-0
sleeping-bag,Big Agnes,Sidewinder 20°,1.0,329.95,USD,https://www.campgearcompare.com/products/big-agnes-sidewinder-20.html,https://www.bigagnes.com/products/sidewinder-20
sleeping-bag,Big Agnes,Torchlight EXP 0°,0.75,469.95,USD,https://www.campgearcompare.com/products/big-agnes-torchlight-exp-0.html,https://www.bigagnes.com/products/torchlight-exp-0
sleeping-bag,Big Agnes,Torchlight EXP 20°,1.05,369.95,USD,https://www.campgearcompare.com/products/big-agnes-torchlight-exp-20.html,https://www.bigagnes.com/products/torchlight-exp-20
sleeping-bag,Big Agnes,Torchlight EXP 30°,0.86,329.95,USD,https://www.campgearcompare.com/products/big-agnes-torchlight-exp-30.html,https://www.bigagnes.com/products/torchlight-exp-30
sleeping-bag,Big Agnes,Torchlight EXP Youth 20°,0.79,259.95,USD,https://www.campgearcompare.com/products/big-agnes-torchlight-exp-youth-20.html,https://www.bigagnes.com/products/torchlight-exp-youth-20
sleeping-bag,Big Agnes,Wolverine 20°,1.02,129.95,USD,https://www.campgearcompare.com/products/big-agnes-wolverine-020.html,https://www.bigagnes.com/products/wolverine-020
sleeping-bag,Big Agnes,Women's Anthracite 20°,1.41,159.95,USD,https://www.campgearcompare.com/products/big-agnes-ws-anthracite-twenty.html,https://www.bigagnes.com/products/ws-anthracite-twenty
sleeping-bag,Big Agnes,Women's Anthracite 20°,1.45,111.96,USD,https://www.campgearcompare.com/products/big-agnes-ws-anthracite-20.html,https://www.bigagnes.com/products/ws-anthracite-20
sleeping-bag,Big Agnes,Women's Anthracite 20° - Alpenglow,1.41,159.95,USD,https://www.campgearcompare.com/products/big-agnes-ws-anthracite-20-alpenglow.html,https://www.bigagnes.com/products/ws-anthracite-20-alpenglow
sleeping-bag,Big Agnes,Women's Anthracite 30°,1.13,149.95,USD,https://www.campgearcompare.com/products/big-agnes-ws-anthracite-thirty.html,https://www.bigagnes.com/products/ws-anthracite-thirty
sleeping-bag,Big Agnes,Women's Greystone 20°,1.09,299.95,USD,https://www.campgearcompare.com/products/big-agnes-ws-greystone-twenty.html,https://www.bigagnes.com/products/ws-greystone-twenty
sleeping-bag,Big Agnes,Women's Greystone 30°,0.86,269.95,USD,https://www.campgearcompare.com/products/big-agnes-ws-greystone-thirty.html,https://www.bigagnes.com/products/ws-greystone-thirty
sleeping-bag,Big Agnes,Women's Sidewinder SL 20°,1.09,187.46,USD,https://www.campgearcompare.com/products/big-agnes-womens-sidewinder-sl-20.html,https://www.bigagnes.com/products/womens-sidewinder-sl-20
sleeping-bag,Montbell,Down Hugger 650 #2 (Sunflower),0.93,310.0,GBP,https://www.campgearcompare.com/products/montbell-down-hugger-650-2-sunflower.html,https://www.montbell.co.uk/products/down-hugger-650-2-sunflower
sleeping-bag,Montbell,Down Hugger 650 #2 Long (Sunflower),1.05,335.0,GBP,https://www.campgearcompare.com/products/montbell-down-hugger-650-2-long-sunflower.html,https://www.montbell.co.uk/products/down-hugger-650-2-long-sunflower
sleeping-bag,Montbell,Down Hugger 650 #3 (Balsam),0.72,265.0,GBP,https://www.campgearcompare.com/products/montbell-down-hugger-650-3-balsam.html,https://www.montbell.co.uk/products/down-hugger-650-3-balsam
sleeping-bag,Montbell,Down Hugger 650 #3 Long (Balsam),0.82,275.0,GBP,https://www.campgearcompare.com/products/montbell-down-hugger-650-3-long-balsam.html,https://www.montbell.co.uk/products/down-hugger-650-3-long-balsam
sleeping-bag,Montbell,Down Hugger 650 #5 (Blue Ridge),0.6,220.0,GBP,https://www.campgearcompare.com/products/montbell-down-hugger-650-5-blue-ridge.html,https://www.montbell.co.uk/products/down-hugger-650-5-blue-ridge
sleeping-bag,Montbell,Down Hugger 650 #5 Long (Blue Ridge),0.68,230.0,GBP,https://www.campgearcompare.com/products/montbell-down-hugger-650-5-long-blue-ridge.html,https://www.montbell.co.uk/products/down-hugger-650-5-long-blue-ridge
sleeping-bag,Montbell,Seamless Alpine Burrow Bag #2 (Sunflower),1.44,170.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-alpine-burrow-bag-2-sunflower.html,https://www.montbell.co.uk/products/seamless-alpine-burrow-bag-2-sunflower
sleeping-bag,Montbell,Seamless Alpine Burrow Bag #2 Long (Sunflower),1.55,180.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-alpine-burrow-bag-2-long-sunflower.html,https://www.montbell.co.uk/products/seamless-alpine-burrow-bag-2-long-sunflower
sleeping-bag,Montbell,Seamless Alpine Burrow Bag #5 (Blue Ridge),0.77,130.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-alpine-burrow-bag-5-blue-ridge.html,https://www.montbell.co.uk/products/seamless-alpine-burrow-bag-5-blue-ridge
sleeping-bag,Montbell,Seamless Alpine Burrow Bag #5 Long (Blue Ridge),0.89,140.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-alpine-burrow-bag-5-long-blue-ridge.html,https://www.montbell.co.uk/products/seamless-alpine-burrow-bag-5-long-blue-ridge
sleeping-bag,Montbell,Seamless Burrow Bag #2 (Sunflower),1.48,180.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-burrow-bag-2-sunflower.html,https://www.montbell.co.uk/products/seamless-burrow-bag-2-sunflower
sleeping-bag,Montbell,Seamless Burrow Bag #2 Long (Sunflower),1.64,200.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-burrow-bag-2-long-sunflower.html,https://www.montbell.co.uk/products/seamless-burrow-bag-2-long-sunflower
sleeping-bag,Montbell,Seamless Burrow Bag #5 (Blue Ridge),0.81,140.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-burrow-bag-5-blue-ridge.html,https://www.montbell.co.uk/products/seamless-burrow-bag-5-blue-ridge
sleeping-bag,Montbell,Seamless Burrow Bag #5 Long (Blue Ridge),0.94,150.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-burrow-bag-5-long-blue-ridge.html,https://www.montbell.co.uk/products/seamless-burrow-bag-5-long-blue-ridge
sleeping-bag,Montbell,Seamless Down Hugger 800 #5 (Blue Ridge),0.46,174.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-down-hugger-800-5-blue-ridge.html,https://www.montbell.co.uk/products/seamless-down-hugger-800-5-blue-ridge
sleeping-bag,Montbell,Seamless Down Hugger 800 #5 Long (Blue Ridge),0.51,186.0,GBP,https://www.campgearcompare.com/products/montbell-seamless-down-hugger-800-5-long-blue-ridge.html,https://www.montbell.co.uk/products/seamless-down-hugger-800-5-long-blue-ridge
sleeping-bag,NANGA,UDD バッグ 380DX,0.68,51700.0,JPY,https://www.campgearcompare.com/products/nanga-udd-bag-380dx.html,https://store.nanga.jp/products/udd-bag-380dx
sleeping-bag,NANGA,UDD バッグ 450DX,0.82,58300.0,JPY,https://www.campgearcompare.com/products/nanga-udd-bag-450dx.html,https://store.nanga.jp/products/udd-bag-450dx
sleeping-bag,NANGA,UDD バッグ 630DX,1.04,69300.0,JPY,https://www.campgearcompare.com/products/nanga-udd-bag-630dx-1.html,https://store.nanga.jp/products/udd-bag-630dx-1
sleeping-bag,NANGA,UDD バッグ 810DX,1.26,79200.0,JPY,https://www.campgearcompare.com/products/nanga-udd-bag-810dx-1.html,https://store.nanga.jp/products/udd-bag-810dx-1
sleeping-bag,NANGA,オーロラテックス ライト350DX,0.75,47300.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-350-dx-1.html,https://store.nanga.jp/products/aurora-tex-light-350-dx-1
sleeping-bag,NANGA,オーロラテックス ライト350SPDX,0.75,66000.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-350-spdx-2019.html,https://store.nanga.jp/products/aurora-tex-light-350-spdx-2019
sleeping-bag,NANGA,オーロラテックス ライト450DX,0.75,52800.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-450dx-1.html,https://store.nanga.jp/products/aurora-tex-light-450dx-1
sleeping-bag,NANGA,オーロラテックス ライト450SPDX,0.75,88000.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-450-spdx-2019.html,https://store.nanga.jp/products/aurora-tex-light-450-spdx-2019
sleeping-bag,NANGA,オーロラテックス ライト600DX,0.75,64900.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-600-dx-1.html,https://store.nanga.jp/products/aurora-tex-light-600-dx-1
sleeping-bag,NANGA,オーロラテックス ライト600SPDX,0.75,110000.0,JPY,https://www.campgearcompare.com/products/nanga-2019-aurora-tex-light-600-spdx.html,https://store.nanga.jp/products/2019-aurora-tex-light-600-spdx
sleeping-bag,NANGA,オーロラテックス ライト750DX,0.75,71500.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-750-dx-1.html,https://store.nanga.jp/products/aurora-tex-light-750-dx-1
sleeping-bag,NANGA,オーロラテックス ライト750SPDX,0.75,132000.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-750-spdx-2019.html,https://store.nanga.jp/products/aurora-tex-light-750-spdx-2019
sleeping-bag,NANGA,オーロラテックス ライト900DX,0.75,77000.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-900-dx-1.html,https://store.nanga.jp/products/aurora-tex-light-900-dx-1
sleeping-bag,NANGA,オーロラテックス ライト900SPDX,0.75,148500.0,JPY,https://www.campgearcompare.com/products/nanga-aurora-tex-light-900-spdx-2019.html,https://store.nanga.jp/products/aurora-tex-light-900-spdx-2019
