cluster,intent,query_count,clicks,impressions,ctr_percent,avg_position
Other non-brand,non_brand,60,1,75,1.3,21.7
Naturehike Mongar,brand_model,22,2,72,2.8,11.5
Other Naturehike,brand,37,1,56,1.8,13.2
Generic 2-person tents,non_brand,27,0,32,0.0,37.2
Other Snow Peak,brand,22,1,30,3.3,24.2
NEMO tarp and shelter,brand_model,6,0,30,0.0,24.3
Naturehike Snowbird,brand_model,7,1,27,3.7,9.4
Other Sea to Summit,brand,22,0,26,0.0,40.1
Other named brands,brand,18,0,22,0.0,32.9
Other NEMO,brand,18,0,22,0.0,48.4
Naturehike Cloud Up,brand_model,13,0,20,0.0,34.3
Other OneTigris,brand,16,0,19,0.0,25.7
Naturehike Yugu,brand_model,5,0,18,0.0,9.8
Naturehike FC pads,brand_model,8,0,18,0.0,11.0
Mobi Garden Lunta,brand_model,2,2,16,12.5,6.0
Other Big Agnes,brand,14,0,16,0.0,42.6
Naturehike Dune,brand_model,6,1,15,6.7,36.3
Snow Peak Amenity Dome,brand_model,6,0,14,0.0,18.3
Naturehike Giling,brand_model,5,0,13,0.0,12.5
Other Asta Gear,brand,6,0,12,0.0,9.7
Naturehike Massif,brand_model,4,0,11,0.0,8.2
Lanshan,brand_model,10,0,11,0.0,47.0
Naturehike Kota,brand_model,3,0,10,0.0,10.8
Naturehike Cloud Trek,brand_model,4,1,9,11.1,10.4
Generic sleeping dimensions and R-value,non_brand,6,0,9,0.0,63.6
Montbell Rera Dome,brand_model,1,0,8,0.0,5.0
Other Mobi Garden,brand,3,0,5,0.0,21.2
Snow Peak Land Lock,brand_model,2,0,4,0.0,38.3
Other Montbell,brand,1,0,1,0.0,11.0
Big Agnes Tiger Wall,brand_model,1,0,1,0.0,72.0
